Rank,University,Location
329,The University of Texas Medical Branch at Galveston,Galveston
1077,The University of Texas of the Permian Basin,Odessa
765,The University of the Arts,Philadelphia
389,The University of Tulsa,Tulsa
45,The University of Utah,Salt Lake City
1407,The University of Virginia's College at Wise,Wise
1777,The University of West Los Angeles,Inglewood
1749,The Wright Institute,Berkeley
1464,Thiel College,Greenville
1249,Thomas Aquinas College,Santa Paula
1226,Thomas College,Waterville
1380,Thomas Edison State University,Trenton
1329,Thomas Jefferson School of Law,San Diego
284,Thomas Jefferson University,Philadelphia
1280,Thomas More College,Crestview Hills
1555,Thomas More College of Liberal Arts,Merrimack
1655,Thomas University,Thomasville
1357,Tiffin University,Tiffin ...
1468,Toccoa Falls College,Toccoa Falls ...
1167,Tougaloo College,Tougaloo ...
587,Touro College,New York City ...
1599,Touro University California,Vallejo
202,Towson University,Towson
1067,Transylvania University,Lexington
1225,Trevecca Nazarene University,Nashville
1207,Trine University,Angola
1712,Trinity Bible College,Ellendale
1337,Trinity Christian College,Palos Heights
357,Trinity College,Hartford
1720,Trinity College of Florida,Trinity
1789,Trinity College of Nursing & Health Sciences,Rock Island
975,Trinity International University,Deerfield ...
374,Trinity University,San Antonio
1124,Trinity Washington University,Washington
1797,Tri-State Bible College,South Point ...
1633,Trocaire College,Buffalo
512,Troy University,Troy ...
1628,Truett-McConnell University,Cleveland
468,Truman State University,Kirksville
48,Tufts University,Medford
127,Tulane University,New Orleans
1222,Tusculum College,Greeneville
802,Tuskegee University,Tuskegee
443,Uniformed Services University of the Health Sciences,Bethesda
422,Union College,Schenectady
1529,"Union College, Kentucky",Barbourville
1507,"Union College, Nebraska",Lincoln
1463,Union Institute & University,Cincinnati
954,Union University,Jackson
280,United States Air Force Academy,Colorado Springs
780,United States Coast Guard Academy,New London
686,United States Merchant Marine Academy,Kings Point ...
251,United States Military Academy,West Point
277,United States Naval Academy,Annapolis
1318,United States Sports Academy,Daphne
1779,United States University,San Diego
1196,Unity College,Unity
130,"University at Albany, State University of New York",Albany
72,"University at Buffalo, State University of New York",Buffalo ...
1321,University of Advancing Technology,Tempe
214,University of Akron,Akron ...
144,University of Alabama at Birmingham,Birmingham
506,University of Alaska Anchorage,Anchorage
203,University of Alaska Fairbanks,Fairbanks ...
995,University of Alaska Southeast,Juneau ...
136,University of Arkansas,Fayetteville
1269,University of Arkansas - Fort Smith,Fort Smith
366,University of Arkansas at Little Rock,Little Rock
1208,University of Arkansas at Monticello,Monticello
1327,University of Arkansas at Pine Bluff,Pine Bluff
542,University of Arkansas for Medical Sciences,Little Rock
379,University of Baltimore,Baltimore
515,University of Bridgeport,Bridgeport ...
4,"University of California, Berkeley",Berkeley ...
29,"University of California, Davis",Davis ...
652,"University of California, Hastings College of the Law",San Francisco
21,"University of California, Irvine",Irvine ...
10,"University of California, Los Angeles",Los Angeles ...
311,"University of California, Merced",Merced ...
84,"University of California, Riverside",Riverside ...
23,"University of California, San Diego",San Diego ...
81,"University of California, San Francisco",San Francisco ...
44,"University of California, Santa Barbara",Santa Barbara ...
